name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
alejandro adem,university of british columbia,B Only,man,latinx,urm,highered,international,moreri,canada,professor,moresecure,math,mathstat
alexander rashkovskii,university of stavanger,B Only,man,white,noturm,highered,international,moreri,norway,professor,moresecure,math,mathstat
alexandre eremenko,purdue university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
alexander turbiner,national university of mexico,B Only,man,white,noturm,highered,international,moreri,mexico,professor,moresecure,math,mathstat
andrew zeng,NA,B Only,man,asian,noturm,NA,NA,NA,NA,NA,NA,NA,NA
dean menezes,university of california los angeles,B Only,man,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
lisa traynor,bryn mawr college,B Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
yuri bilu,university of bordeaux,B Only,man,white,noturm,highered,international,moreri,france,professor,moresecure,math,mathstat
thibaud taillefumier,university of texas at austin,B Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
donald richards,pennsylvania state university,B Only,man,black,urm,highered,domesticr1,moreri,NA,professor,moresecure,stat,mathstat
ariana,unaffiliated,B Only,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
timothy perutz,university of texas at austin,B Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
justin campbell,california institute of technology,B Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
dennis eichhorn,university of california irvine,B Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
adam prenosil,vanderbilt university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
monica vazirani,university of california davis,B Only,woman,NA,NA,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
nate levi,university of california davis,B Only,man,NA,NA,NA,domesticr1,moreri,NA,NA,NA,NA,NA
boris mityagin,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
robert franzosa,university of maine,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
azriel levy,hebrew university of jerusalem,B Only,man,middleeast,noturm,highered,international,moreri,israel,professor,moresecure,math,mathstat
tom richmond,western kentucky university,B Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
ori gurel gurevich,hebrew university of jerusalem,B Only,man,middleeast,noturm,highered,international,moreri,israel,associate,moresecure,math,mathstat
raymond heitmann,university of texas at austin,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
andrew granville,university of montreal,B Only,man,white,noturm,highered,international,moreri,canada,professor,moresecure,math,mathstat
ronald solomon,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
illya serdyuk,NA,B Only,man,white,noturm,NA,NA,NA,NA,NA,NA,NA,NA
matthew snyder,kent state university,B Only,man,NA,NA,highered,domesticr2,lessri,NA,NA,NA,NA,NA
svetlana jitomirskaya,university of california irvine,B and C,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
willard miller,university of minnesota,B Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
anton gorodetski,university of california irvine,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
todd arbogast,university of texas at austin,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
bogdan doytchinov,elizabethtown college,B Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
evans harrell,georgia institute of technology,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
christopher j larsen,worcester polytechnic institute,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
anton kapustin,california institute of technology,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
michael smith,university of california berkeley,B Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
chris miller,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
percy deift,new york university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
hamid hezari,university of california irvine,B Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
kasun fernando,university of toronto,B Only,man,asian,noturm,highered,international,moreri,canada,ntt,lesssecure,math,mathstat
william j martin,worcester polytechnic institute,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
mark sapir,vanderbilt university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
larry cahill,university of california irvine,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
lev deych,queens college of cuny,B Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,other,other
sean lawton,george mason university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
